Order ID,Date,Time,date_time,Kiosk,Product,Qty,Subtotal,Unit Price_BD,Unit_Price_AD,Discount Applied,Total,COGS,Margin,Fridge Type,Promotion Label,,,,,,,,,,,
1588PXKMYI,9/8/19,11:56:42 AM,11:56:42 AM,Kronos,Vegan Mediterranean,1,7.98,7.98,7.98,0,7.98,3,4.98,Byte,,,,,,,,,,,,
1590PXKMY5,9/8/19,11:56:29 AM,11:56:29 AM,GSV,Love Corn,1,2.25,2.25,2.25,0,2.25,0,2.25,Byte,,,,,,,,,,,,
1590PXKMY5,9/8/19,11:56:29 AM,11:56:29 AM,GSV,Buffalo Chicken Half Wrap,1,4.5,4.5,4.5,0,4.5,0,4.5,Byte,,,,,,,,,,,,
1590PXKMY5,9/8/19,11:56:29 AM,11:56:29 AM,GSV,6AM Health Juice - Immune,1,5.98,5.98,5.98,0,5.98,0,5.98,Byte,,,,,,,,,,,,
1584PXKMTJ,9/8/19,11:53:43 AM,11:53:43 AM,Robins Kaplan,Love Corn,1,2.25,2.25,2.03,0.22,2.03,0,2.25,Byte,,,,,,,,,,,,
1588PXKMQR,9/8/19,11:52:03 AM,11:52:03 AM,Kronos,Zesty Burrito Bowl,1,7.98,7.98,7.98,0,7.98,1,6.98,Byte,,,,,,,,,,,,
1588PXKMLA,9/8/19,11:48:46 AM,11:48:46 AM,Kronos,Spring Mix Apple Brie,1,7.98,7.98,7.98,0,7.98,3,4.98,Byte,,,,,,,,,,,,
1588PXKMF6,9/8/19,11:45:06 AM,11:45:06 AM,Kronos,Pulled Buffalo Chicken,1,3.49,3.49,3.49,0,3.49,1.5,1.99,Byte,,,,,,,,,,,,
1584PXKLXM,9/8/19,11:34:34 AM,11:34:34 AM,Robins Kaplan,Pulled Buffalo Chicken,1,3.49,3.49,3.14,0.35,3.14,1.5,1.99,Byte,,,,,,,,,,,,
1588PXKLT7,9/8/19,11:31:55 AM,11:31:55 AM,Kronos,Pulled Buffalo Chicken Bowl,1,7.98,7.98,7.98,0,7.98,3.5,4.48,Byte,,,,,,,,,,,,
1590PXKLLP,9/8/19,11:27:25 AM,11:27:25 AM,GSV,Vegetarian Harvest Bowl,1,7.98,7.98,7.98,0,7.98,3,4.98,Byte,,,,,,,,,,,,
1588PXKKX4,9/8/19,11:12:40 AM,11:12:40 AM,Kronos,Apple Cinnamon Overnight Oats,1,4.98,4.98,4.98,0,4.98,2,2.98,Byte,,,,,,,,,,,,
1582PXKKCO,9/8/19,11:00:24 AM,11:00:24 AM,53 State,Zesty Burrito Bowl,1,7.98,7.98,7.98,0,7.98,1,6.98,Byte,,,,,,,,,,,,
1584PXKJWP,9/8/19,10:50:49 AM,10:50:49 AM,Robins Kaplan,Kind Bars,1,2.49,2.49,2.24,0.25,2.24,0,2.49,Byte,,,,,,,,,,,,
1588PXKHW2,9/8/19,10:07:14 AM,10:07:14 AM,Kronos,Seasoned Chicken,1,3.49,3.49,3.49,0,3.49,1.5,1.99,Byte,,,,,,,,,,,,
1590PXKHCE,9/8/19,9:55:26 AM,9:55:26 AM,GSV,Apple Cinnamon Overnight Oats,1,4.98,4.98,4.98,0,4.98,2,2.98,Byte,,,,,,,,,,,,
1590PXKHA8,9/8/19,9:54:08 AM,9:54:08 AM,GSV,Chicken Caesar Half Wrap,1,4.5,4.5,4.5,0,4.5,0,4.5,Byte,,,,,,,,,,,,
1588PXKGU1,9/8/19,9:44:25 AM,9:44:25 AM,Kronos,Dark Chocolate Overnight Oats,1,4.98,4.98,4.98,0,4.98,1,3.98,Byte,,,,,,,,,,,,
1590PXKG9W,9/8/19,9:32:20 AM,9:32:20 AM,GSV,6AM Health Juice - Immune,1,5.98,5.98,5.98,0,5.98,0,5.98,Byte,,,,,,,,,,,,
1590PXKG9W,9/8/19,9:32:20 AM,9:32:20 AM,GSV,Vermont Cheddar & Grapes,1,3.49,3.49,3.49,0,3.49,1,2.49,Byte,,,,,,,,,,,,
1590PXKG7G,9/8/19,9:30:52 AM,9:30:52 AM,GSV,Dark Chocolate Overnight Oats,1,4.98,4.98,4.98,0,4.98,1,3.98,Byte,,,,,,,,,,,,
1588PXKG4F,9/8/19,9:29:03 AM,9:29:03 AM,Kronos,Dark Chocolate Overnight Oats,1,4.98,4.98,4.98,0,4.98,1,3.98,Byte,,,,,,,,,,,,
1590PXKFCI,9/8/19,9:12:18 AM,9:12:18 AM,GSV,Dark Chocolate Overnight Oats,1,4.98,4.98,4.98,0,4.98,1,3.98,Byte,,,,,,,,,,,,
1588PXKE5U,9/8/19,8:46:42 AM,8:46:42 AM,Kronos,Pulled Buffalo Chicken Bowl,1,7.98,7.98,7.98,0,7.98,3.5,4.48,Byte,,,,,,,,,,,,
1588PXKE5U,9/8/19,8:46:42 AM,8:46:42 AM,Kronos,SmartSweets Gummy Bears,1,3.49,3.49,3.49,0,3.49,2.49,1,Byte,,,,,,,,,,,,
